Character,Body,Tires,Glider,"Speed","Speed (Water)","Speed (Air)","Speed (Anti-Gravity)","Acceleration","Weight","Handling","Handling (Water)","Handling (Air)","Handling (Anti-Gravity)","Traction","Mini-Turbo","Invincibility"
Baby Rosalina/Lemmy,Tanooki Kart,Triforce Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,2.75,3,2.5,2.5,3.5,2.75,4.5,4.5,4.5,4.25,4.75,4.25,4.75
Baby Rosalina/Lemmy,Tanooki Kart,Metal,Cloud Glider/Parachute/Flower Glider/Paper Glider,2.75,3,2.5,2.25,3,2.5,4.75,4.5,4.25,4.25,4,4.25,4.75
Baby Rosalina/Lemmy,Tanooki Kart,Metal,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,2.75,2.75,2.5,2.25,3,2.75,4.75,4.75,4.25,4,3.75,4.25,4.75
Baby Rosalina/Lemmy,Tanooki Kart,Metal,Super Glider/Waddle Wing/Hylian Kite,3,3,2.75,2,2.75,2.75,4.75,4.5,4,4.25,4,4,5
Baby Rosalina/Lemmy,Tanooki Kart,Metal,Wario Wing/Plane Glider/Gold Glider/Paraglider,3,2.75,2.75,2.25,2.75,3,4.75,4.75,4,4,3.75,4,5
Baby Rosalina/Lemmy,Tanooki Kart,Gold Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,2.75,3,2.5,2.25,3,2.5,4.75,4.5,4.25,4.25,4,4.25,4.5
Baby Rosalina/Lemmy,Tanooki Kart,Gold Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,2.75,2.75,2.5,2.25,3,2.75,4.75,4.75,4.25,4,3.75,4.25,4.5
Baby Rosalina/Lemmy,Tanooki Kart,Gold Tires,Super Glider/Waddle Wing/Hylian Kite,3,3,2.75,2,2.75,2.75,4.75,4.5,4,4.25,4,4,4.75
Baby Rosalina/Lemmy,Tanooki Kart,Gold Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,3,2.75,2.75,2.25,2.75,3,4.75,4.75,4,4,3.75,4,4.75
Baby Rosalina/Lemmy,Tanooki Kart,Slick/Cyber Slick,Cloud Glider/Parachute/Flower Glider/Paper Glider,2.75,2.25,2,3,3.25,2.25,4.75,4,4.5,4.5,3.5,4.25,4.5
Baby Rosalina/Lemmy,Tanooki Kart,Slick/Cyber Slick,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,2.75,2,2,3,3.25,2.5,4.75,4.25,4.5,4.25,3.25,4.25,4.5
Baby Rosalina/Lemmy,Tanooki Kart,Slick/Cyber Slick,Super Glider/Waddle Wing/Hylian Kite,3,2.25,2.25,2.75,3,2.5,4.75,4,4.25,4.5,3.5,4,4.75
Baby Rosalina/Lemmy,Tanooki Kart,Slick/Cyber Slick,Wario Wing/Plane Glider/Gold Glider/Paraglider,3,2,2.25,3,3,2.75,4.75,4.25,4.25,4.25,3.25,4,4.75
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Roller/Azure Roller,Cloud Glider/Parachute/Flower Glider/Paper Glider,1.75,3,2.75,2,4.5,1.5,5.25,5,5.25,5,4.5,5.25,3
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Roller/Azure Roller,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,1.75,2.75,2.75,2,4.5,1.75,5.25,5.25,5.25,4.75,4.25,5.25,3
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Roller/Azure Roller,Super Glider/Waddle Wing/Hylian Kite,2,3,3,1.75,4.25,1.75,5.25,5,5,5,4.5,5,3.25
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Roller/Azure Roller,Wario Wing/Plane Glider/Gold Glider/Paraglider,2,2.75,3,2,4.25,2,5.25,5.25,5,4.75,4.25,5,3.25
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Leaf Tires/Button,Cloud Glider/Parachute/Flower Glider/Paper Glider,2,2.75,2.5,2.5,4.25,1.5,5,4.75,4.75,5,4.25,5,3.75
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Leaf Tires/Button,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,2,2.5,2.5,2.5,4.25,1.75,5,5,4.75,4.75,4,5,3.75
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Leaf Tires/Button,Super Glider/Waddle Wing/Hylian Kite,2.25,2.75,2.75,2.25,4,1.75,5,4.75,4.5,5,4.25,4.75,4
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Leaf Tires/Button,Wario Wing/Plane Glider/Gold Glider/Paraglider,2.25,2.5,2.75,2.5,4,2,5,5,4.5,4.75,4,4.75,4
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Cushion,Cloud Glider/Parachute/Flower Glider/Paper Glider,2,2.5,3,2.25,4,1.75,4.75,4.25,5,4.5,5,5,4.5
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Cushion,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,2,2.25,3,2.25,4,2,4.75,4.5,5,4.25,4.75,5,4.5
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Cushion,Super Glider/Waddle Wing/Hylian Kite,2.25,2.5,3.25,2,3.75,2,4.75,4.25,4.75,4.5,5,4.75,4.75
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Cushion,Wario Wing/Plane Glider/Gold Glider/Paraglider,2.25,2.25,3.25,2.25,3.75,2.25,4.75,4.5,4.75,4.25,4.75,4.75,4.75
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Sponge,Cloud Glider/Parachute/Flower Glider/Paper Glider,2,2.5,3,2.25,4,1.75,4.75,4.25,5,4.5,5,5,4
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Sponge,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,2,2.25,3,2.25,4,2,4.75,4.5,5,4.25,4.75,5,4
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Sponge,Super Glider/Waddle Wing/Hylian Kite,2.25,2.5,3.25,2,3.75,2,4.75,4.25,4.75,4.5,5,4.75,4.25
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Sponge,Wario Wing/Plane Glider/Gold Glider/Paraglider,2.25,2.25,3.25,2.25,3.75,2.25,4.75,4.5,4.75,4.25,4.75,4.75,4.25
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,GLA Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,2.25,3,2.75,2.5,4,2,5,4.75,5,4.75,4.75,4.75,4.25
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,GLA Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,2.25,2.75,2.75,2.5,4,2.25,5,5,5,4.5,4.5,4.75,4.25
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,GLA Tires,Super Glider/Waddle Wing/Hylian Kite,2.5,3,3,2.25,3.75,2.25,5,4.75,4.75,4.75,4.75,4.5,4.5
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,GLA Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,2.5,2.75,3,2.5,3.75,2.5,5,5,4.75,4.5,4.5,4.5,4.5
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Standard/Blue Standard,Cloud Glider/Parachute/Flower Glider/Paper Glider,2.25,3,2.75,2.5,4,2,5,4.75,5,4.75,4.75,4.75,4
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Standard/Blue Standard,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,2.25,2.75,2.75,2.5,4,2.25,5,5,5,4.5,4.5,4.75,4
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Standard/Blue Standard,Super Glider/Waddle Wing/Hylian Kite,2.5,3,3,2.25,3.75,2.25,5,4.75,4.75,4.75,4.75,4.5,4.25
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Standard/Blue Standard,Wario Wing/Plane Glider/Gold Glider/Paraglider,2.5,2.75,3,2.5,3.75,2.5,5,5,4.75,4.5,4.5,4.5,4.25
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Slim/Wood/Crimson Slim,Cloud Glider/Parachute/Flower Glider/Paper Glider,2.5,2.75,2.5,3,3.5,2,5.25,5,5.25,4.75,3.75,4.5,4.25
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Slim/Wood/Crimson Slim,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,2.5,2.5,2.5,3,3.5,2.25,5.25,5.25,5.25,4.5,3.5,4.5,4.25
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Slim/Wood/Crimson Slim,Super Glider/Waddle Wing/Hylian Kite,2.75,2.75,2.75,2.75,3.25,2.25,5.25,5,5,4.75,3.75,4.25,4.5
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Slim/Wood/Crimson Slim,Wario Wing/Plane Glider/Gold Glider/Paraglider,2.75,2.5,2.75,3,3.25,2.5,5.25,5.25,5,4.5,3.5,4.25,4.5
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Monster/Hot Monster,Cloud Glider/Parachute/Flower Glider/Paper Glider,2.5,2.75,2.25,2.5,3.5,2.5,4.25,4.25,4.5,4,5.25,4.5,4.5
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Monster/Hot Monster,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,2.5,2.5,2.25,2.5,3.5,2.75,4.25,4.5,4.5,3.75,5,4.5,4.5
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Monster/Hot Monster,Super Glider/Waddle Wing/Hylian Kite,2.75,2.75,2.5,2.25,3.25,2.75,4.25,4.25,4.25,4,5.25,4.25,4.75
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Monster/Hot Monster,Wario Wing/Plane Glider/Gold Glider/Paraglider,2.75,2.5,2.5,2.5,3.25,3,4.25,4.5,4.25,3.75,5,4.25,4.75
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Ancient Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,2.5,2.75,2.25,2.5,3.5,2.5,4.25,4.25,4.5,4,5.25,4.5,4.25
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Ancient Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,2.5,2.5,2.25,2.5,3.5,2.75,4.25,4.5,4.5,3.75,5,4.5,4.25
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Ancient Tires,Super Glider/Waddle Wing/Hylian Kite,2.75,2.75,2.5,2.25,3.25,2.75,4.25,4.25,4.25,4,5.25,4.25,4.5
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Ancient Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,2.75,2.5,2.5,2.5,3.25,3,4.25,4.5,4.25,3.75,5,4.25,4.5
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Off-Road/Retro Off-Road,Cloud Glider/Parachute/Flower Glider/Paper Glider,2.5,3.25,2.25,2.5,3.75,2.25,4.5,4.25,4.75,4.5,5,4.5,4.5
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Off-Road/Retro Off-Road,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,2.5,3,2.25,2.5,3.75,2.5,4.5,4.5,4.75,4.25,4.75,4.5,4.5
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Off-Road/Retro Off-Road,Super Glider/Waddle Wing/Hylian Kite,2.75,3.25,2.5,2.25,3.5,2.5,4.5,4.25,4.5,4.5,5,4.25,4.75
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Off-Road/Retro Off-Road,Wario Wing/Plane Glider/Gold Glider/Paraglider,2.75,3,2.5,2.5,3.5,2.75,4.5,4.5,4.5,4.25,4.75,4.25,4.75
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Triforce Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,2.5,3.25,2.25,2.5,3.75,2.25,4.5,4.25,4.75,4.5,5,4.5,4.25
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Triforce Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,2.5,3,2.25,2.5,3.75,2.5,4.5,4.5,4.75,4.25,4.75,4.5,4.25
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Triforce Tires,Super Glider/Waddle Wing/Hylian Kite,2.75,3.25,2.5,2.25,3.5,2.5,4.5,4.25,4.5,4.5,5,4.25,4.5
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Triforce Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,2.75,3,2.5,2.5,3.5,2.75,4.5,4.5,4.5,4.25,4.75,4.25,4.5
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Metal,Cloud Glider/Parachute/Flower Glider/Paper Glider,2.75,3,2.5,2.25,3,2.5,4.75,4.5,4.25,4.25,4,4.25,4.5
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Metal,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,2.75,2.75,2.5,2.25,3,2.75,4.75,4.75,4.25,4,3.75,4.25,4.5
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Metal,Super Glider/Waddle Wing/Hylian Kite,3,3,2.75,2,2.75,2.75,4.75,4.5,4,4.25,4,4,4.75
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Metal,Wario Wing/Plane Glider/Gold Glider/Paraglider,3,2.75,2.75,2.25,2.75,3,4.75,4.75,4,4,3.75,4,4.75
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Gold Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,2.75,3,2.5,2.25,3,2.5,4.75,4.5,4.25,4.25,4,4.25,4.25
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Gold Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,2.75,2.75,2.5,2.25,3,2.75,4.75,4.75,4.25,4,3.75,4.25,4.25
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Gold Tires,Super Glider/Waddle Wing/Hylian Kite,3,3,2.75,2,2.75,2.75,4.75,4.5,4,4.25,4,4,4.5
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Gold Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,3,2.75,2.75,2.25,2.75,3,4.75,4.75,4,4,3.75,4,4.5
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Slick/Cyber Slick,Cloud Glider/Parachute/Flower Glider/Paper Glider,2.75,2.25,2,3,3.25,2.25,4.75,4,4.5,4.5,3.5,4.25,4.25
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Slick/Cyber Slick,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,2.75,2,2,3,3.25,2.5,4.75,4.25,4.5,4.25,3.25,4.25,4.25
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Slick/Cyber Slick,Super Glider/Waddle Wing/Hylian Kite,3,2.25,2.25,2.75,3,2.5,4.75,4,4.25,4.5,3.5,4,4.5
Baby Rosalina/Lemmy,Koopa Clown/Master Cycle Zero,Slick/Cyber Slick,Wario Wing/Plane Glider/Gold Glider/Paraglider,3,2,2.25,3,3,2.75,4.75,4.25,4.25,4.25,3.25,4,4.5
Baby Rosalina/Lemmy,Prancer,Roller/Azure Roller,Cloud Glider/Parachute/Flower Glider/Paper Glider,2,2.75,2.75,2,4.5,1,5,4.75,5.25,4.75,3.25,5,3.5
Baby Rosalina/Lemmy,Prancer,Roller/Azure Roller,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,2,2.5,2.75,2,4.5,1.25,5,5,5.25,4.5,3,5,3.5
Baby Rosalina/Lemmy,Prancer,Roller/Azure Roller,Super Glider/Waddle Wing/Hylian Kite,2.25,2.75,3,1.75,4.25,1.25,5,4.75,5,4.75,3.25,4.75,3.75
Baby Rosalina/Lemmy,Prancer,Roller/Azure Roller,Wario Wing/Plane Glider/Gold Glider/Paraglider,2.25,2.5,3,2,4.25,1.5,5,5,5,4.5,3,4.75,3.75
Baby Rosalina/Lemmy,Prancer,Leaf Tires/Button,Cloud Glider/Parachute/Flower Glider/Paper Glider,2.25,2.5,2.5,2.5,4.25,1,4.75,4.5,4.75,4.75,3,4.75,4.25
Baby Rosalina/Lemmy,Prancer,Leaf Tires/Button,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,2.25,2.25,2.5,2.5,4.25,1.25,4.75,4.75,4.75,4.5,2.75,4.75,4.25
Baby Rosalina/Lemmy,Prancer,Leaf Tires/Button,Super Glider/Waddle Wing/Hylian Kite,2.5,2.5,2.75,2.25,4,1.25,4.75,4.5,4.5,4.75,3,4.5,4.5
Baby Rosalina/Lemmy,Prancer,Leaf Tires/Button,Wario Wing/Plane Glider/Gold Glider/Paraglider,2.5,2.25,2.75,2.5,4,1.5,4.75,4.75,4.5,4.5,2.75,4.5,4.5
Baby Rosalina/Lemmy,Prancer,Cushion,Cloud Glider/Parachute/Flower Glider/Paper Glider,2.25,2.25,3,2.25,4,1.25,4.5,4,5,4.25,3.75,4.75,5
Baby Rosalina/Lemmy,Prancer,Cushion,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,2.25,2,3,2.25,4,1.5,4.5,4.25,5,4,3.5,4.75,5
Baby Rosalina/Lemmy,Prancer,Cushion,Super Glider/Waddle Wing/Hylian Kite,2.5,2.25,3.25,2,3.75,1.5,4.5,4,4.75,4.25,3.75,4.5,5.25
Baby Rosalina/Lemmy,Prancer,Cushion,Wario Wing/Plane Glider/Gold Glider/Paraglider,2.5,2,3.25,2.25,3.75,1.75,4.5,4.25,4.75,4,3.5,4.5,5.25
Baby Rosalina/Lemmy,Prancer,Sponge,Cloud Glider/Parachute/Flower Glider/Paper Glider,2.25,2.25,3,2.25,4,1.25,4.5,4,5,4.25,3.75,4.75,4.5
Baby Rosalina/Lemmy,Prancer,Sponge,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,2.25,2,3,2.25,4,1.5,4.5,4.25,5,4,3.5,4.75,4.5
Baby Rosalina/Lemmy,Prancer,Sponge,Super Glider/Waddle Wing/Hylian Kite,2.5,2.25,3.25,2,3.75,1.5,4.5,4,4.75,4.25,3.75,4.5,4.75
Baby Rosalina/Lemmy,Prancer,Sponge,Wario Wing/Plane Glider/Gold Glider/Paraglider,2.5,2,3.25,2.25,3.75,1.75,4.5,4.25,4.75,4,3.5,4.5,4.75
Baby Rosalina/Lemmy,Prancer,GLA Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,2.5,2.75,2.75,2.5,4,1.5,4.75,4.5,5,4.5,3.5,4.5,4.75
Baby Rosalina/Lemmy,Prancer,GLA Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,2.5,2.5,2.75,2.5,4,1.75,4.75,4.75,5,4.25,3.25,4.5,4.75
Baby Rosalina/Lemmy,Prancer,GLA Tires,Super Glider/Waddle Wing/Hylian Kite,2.75,2.75,3,2.25,3.75,1.75,4.75,4.5,4.75,4.5,3.5,4.25,5
Baby Rosalina/Lemmy,Prancer,GLA Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,2.75,2.5,3,2.5,3.75,2,4.75,4.75,4.75,4.25,3.25,4.25,5
Baby Rosalina/Lemmy,Prancer,Standard/Blue Standard,Cloud Glider/Parachute/Flower Glider/Paper Glider,2.5,2.75,2.75,2.5,4,1.5,4.75,4.5,5,4.5,3.5,4.5,4.5
Baby Rosalina/Lemmy,Prancer,Standard/Blue Standard,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,2.5,2.5,2.75,2.5,4,1.75,4.75,4.75,5,4.25,3.25,4.5,4.5
Baby Rosalina/Lemmy,Prancer,Standard/Blue Standard,Super Glider/Waddle Wing/Hylian Kite,2.75,2.75,3,2.25,3.75,1.75,4.75,4.5,4.75,4.5,3.5,4.25,4.75
Baby Rosalina/Lemmy,Prancer,Standard/Blue Standard,Wario Wing/Plane Glider/Gold Glider/Paraglider,2.75,2.5,3,2.5,3.75,2,4.75,4.75,4.75,4.25,3.25,4.25,4.75
Baby Rosalina/Lemmy,Prancer,Slim/Wood/Crimson Slim,Cloud Glider/Parachute/Flower Glider/Paper Glider,2.75,2.5,2.5,3,3.5,1.5,5,4.75,5.25,4.5,2.5,4.25,4.75
Baby Rosalina/Lemmy,Prancer,Slim/Wood/Crimson Slim,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,2.75,2.25,2.5,3,3.5,1.75,5,5,5.25,4.25,2.25,4.25,4.75
Baby Rosalina/Lemmy,Prancer,Slim/Wood/Crimson Slim,Super Glider/Waddle Wing/Hylian Kite,3,2.5,2.75,2.75,3.25,1.75,5,4.75,5,4.5,2.5,4,5
Baby Rosalina/Lemmy,Prancer,Slim/Wood/Crimson Slim,Wario Wing/Plane Glider/Gold Glider/Paraglider,3,2.25,2.75,3,3.25,2,5,5,5,4.25,2.25,4,5
Baby Rosalina/Lemmy,Prancer,Monster/Hot Monster,Cloud Glider/Parachute/Flower Glider/Paper Glider,2.75,2.5,2.25,2.5,3.5,2,4,4,4.5,3.75,4,4.25,5
Baby Rosalina/Lemmy,Prancer,Monster/Hot Monster,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,2.75,2.25,2.25,2.5,3.5,2.25,4,4.25,4.5,3.5,3.75,4.25,5
Baby Rosalina/Lemmy,Prancer,Monster/Hot Monster,Super Glider/Waddle Wing/Hylian Kite,3,2.5,2.5,2.25,3.25,2.25,4,4,4.25,3.75,4,4,5.25
Baby Rosalina/Lemmy,Prancer,Monster/Hot Monster,Wario Wing/Plane Glider/Gold Glider/Paraglider,3,2.25,2.5,2.5,3.25,2.5,4,4.25,4.25,3.5,3.75,4,5.25
Baby Rosalina/Lemmy,Prancer,Ancient Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,2.75,2.5,2.25,2.5,3.5,2,4,4,4.5,3.75,4,4.25,4.75
Baby Rosalina/Lemmy,Prancer,Ancient Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,2.75,2.25,2.25,2.5,3.5,2.25,4,4.25,4.5,3.5,3.75,4.25,4.75
Baby Rosalina/Lemmy,Prancer,Ancient Tires,Super Glider/Waddle Wing/Hylian Kite,3,2.5,2.5,2.25,3.25,2.25,4,4,4.25,3.75,4,4,5
Baby Rosalina/Lemmy,Prancer,Ancient Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,3,2.25,2.5,2.5,3.25,2.5,4,4.25,4.25,3.5,3.75,4,5
Baby Rosalina/Lemmy,Prancer,Off-Road/Retro Off-Road,Cloud Glider/Parachute/Flower Glider/Paper Glider,2.75,3,2.25,2.5,3.75,1.75,4.25,4,4.75,4.25,3.75,4.25,5
Baby Rosalina/Lemmy,Prancer,Off-Road/Retro Off-Road,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,2.75,2.75,2.25,2.5,3.75,2,4.25,4.25,4.75,4,3.5,4.25,5
Baby Rosalina/Lemmy,Prancer,Off-Road/Retro Off-Road,Super Glider/Waddle Wing/Hylian Kite,3,3,2.5,2.25,3.5,2,4.25,4,4.5,4.25,3.75,4,5.25
Baby Rosalina/Lemmy,Prancer,Off-Road/Retro Off-Road,Wario Wing/Plane Glider/Gold Glider/Paraglider,3,2.75,2.5,2.5,3.5,2.25,4.25,4.25,4.5,4,3.5,4,5.25
Baby Rosalina/Lemmy,Prancer,Triforce Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,2.75,3,2.25,2.5,3.75,1.75,4.25,4,4.75,4.25,3.75,4.25,4.75
Baby Rosalina/Lemmy,Prancer,Triforce Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,2.75,2.75,2.25,2.5,3.75,2,4.25,4.25,4.75,4,3.5,4.25,4.75
Baby Rosalina/Lemmy,Prancer,Triforce Tires,Super Glider/Waddle Wing/Hylian Kite,3,3,2.5,2.25,3.5,2,4.25,4,4.5,4.25,3.75,4,5
Baby Rosalina/Lemmy,Prancer,Triforce Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,3,2.75,2.5,2.5,3.5,2.25,4.25,4.25,4.5,4,3.5,4,5
Baby Rosalina/Lemmy,Prancer,Metal,Cloud Glider/Parachute/Flower Glider/Paper Glider,3,2.75,2.5,2.25,3,2,4.5,4.25,4.25,4,2.75,4,5
Baby Rosalina/Lemmy,Prancer,Metal,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,3,2.5,2.5,2.25,3,2.25,4.5,4.5,4.25,3.75,2.5,4,5
Baby Rosalina/Lemmy,Prancer,Metal,Super Glider/Waddle Wing/Hylian Kite,3.25,2.75,2.75,2,2.75,2.25,4.5,4.25,4,4,2.75,3.75,5.25
Baby Rosalina/Lemmy,Prancer,Metal,Wario Wing/Plane Glider/Gold Glider/Paraglider,3.25,2.5,2.75,2.25,2.75,2.5,4.5,4.5,4,3.75,2.5,3.75,5.25
Baby Rosalina/Lemmy,Prancer,Gold Tires,Cloud Glider/Parachute/Flower Glider/Paper Glider,3,2.75,2.5,2.25,3,2,4.5,4.25,4.25,4,2.75,4,4.75
Baby Rosalina/Lemmy,Prancer,Gold Tires,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,3,2.5,2.5,2.25,3,2.25,4.5,4.5,4.25,3.75,2.5,4,4.75
Baby Rosalina/Lemmy,Prancer,Gold Tires,Super Glider/Waddle Wing/Hylian Kite,3.25,2.75,2.75,2,2.75,2.25,4.5,4.25,4,4,2.75,3.75,5
Baby Rosalina/Lemmy,Prancer,Gold Tires,Wario Wing/Plane Glider/Gold Glider/Paraglider,3.25,2.5,2.75,2.25,2.75,2.5,4.5,4.5,4,3.75,2.5,3.75,5
Baby Rosalina/Lemmy,Prancer,Slick/Cyber Slick,Cloud Glider/Parachute/Flower Glider/Paper Glider,3,2,2,3,3.25,1.75,4.5,3.75,4.5,4.25,2.25,4,4.75
Baby Rosalina/Lemmy,Prancer,Slick/Cyber Slick,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,3,1.75,2,3,3.25,2,4.5,4,4.5,4,2,4,4.75
Baby Rosalina/Lemmy,Prancer,Slick/Cyber Slick,Super Glider/Waddle Wing/Hylian Kite,3.25,2,2.25,2.75,3,2,4.5,3.75,4.25,4.25,2.25,3.75,5
Baby Rosalina/Lemmy,Prancer,Slick/Cyber Slick,Wario Wing/Plane Glider/Gold Glider/Paraglider,3.25,1.75,2.25,3,3,2.25,4.5,4,4.25,4,2,3.75,5
Baby Rosalina/Lemmy,Sport Bike/Jet Bike,Roller/Azure Roller,Cloud Glider/Parachute/Flower Glider/Paper Glider,2,2.75,2.75,2,4.5,1,5,4.75,5.25,4.75,3.25,5,3
Baby Rosalina/Lemmy,Sport Bike/Jet Bike,Roller/Azure Roller,Peach Parasol/Parafoil/Bowser Kite/MKTV Parafoil,2,2.5,2.75,2,4.5,1.25,5,5,5.25,4.5,3,5,3
Baby Rosalina/Lemmy,Sport Bike/Jet Bike,Roller/Azure Roller,Super Glider/Waddle Wing/Hylian Kite,2.25,2.75,3,1.75,4.25,1.25,5,4.75,5,4.75,3.25,4.75,3.25
